txn_id,utr_ref,amount,value_date,narration
TXN0041,UTR853292475634,19019.03,2026-08-18,NEFT CR UTR853292475634 RAZORPAY SETTLEMENT
TXN0014,UTR442294850989,5071.38,2026-08-19,NEFT CR UTR442294850989 RAZORPAY SETTLEMENT
TXN0044,UTR3796172,6003.09,2026-08-08,NEFT CR UTR3796172 PARTIAL REF
TXN0028,UTR483276346579,15212.43,2026-08-11,NEFT CR UTR483276346579 RAZORPAY SETTLEMENT
TXN0047,UTR672544893667,3321.77,2026-08-15,NEFT CR UTR672544893667 RAZORPAY SETTLEMENT
TXN0043,UTR026354547372,17516.76,2026-08-17,NEFT CR UTR026354547372 RAZORPAY SETTLEMENT
TXN0012,UTR700035245785,5756.2,2026-08-04,NEFT CR UTR700035245785 RAZORPAY SETTLEMENT
TXN0051,UTR944342545876,18849.46,2026-08-19,NEFT CR UTR944342545876 UNKNOWN SOURCE
TXN0011,UTR767363842005,23557.49,2026-08-19,NEFT CR UTR767363842005 RAZORPAY SETTLEMENT
TXN0019,UTR318769608269,21560.06,2026-08-09,NEFT CR UTR318769608269 RAZORPAY SETTLEMENT
TXN0037,UTR936767910116,18294.98,2026-08-03,NEFT CR UTR936767910116 RAZORPAY SETTLEMENT
TXN0025,UTR395919192147,8888.25,2026-08-18,NEFT CR UTR395919192147 RAZORPAY SETTLEMENT
TXN0002,UTR442871422713,16034.61,2026-08-19,NEFT CR UTR442871422713 RAZORPAY SETTLEMENT
TXN0031,UTR591145537488,12878.68,2026-08-03,NEFT CR UTR591145537488 RAZORPAY SETTLEMENT
TXN0040,UTR881968747928,12591.69,2026-08-13,NEFT CR UTR881968747928 RAZORPAY SETTLEMENT
TXN0022,UTR138788221784,13705.59,2026-08-15,NEFT CR UTR138788221784 RAZORPAY SETTLEMENT
TXN0039,UTR582636875056,9976.89,2026-08-09,NEFT CR UTR582636875056 RAZORPAY SETTLEMENT
TXN0053,UTR489443114464,4946.48,2026-08-19,NEFT CR UTR489443114464 UNKNOWN SOURCE
TXN0045,UTR3710029,5930.01,2026-08-07,NEFT CR UTR3710029 PARTIAL REF
TXN0020,UTR712236852906,6814.7,2026-08-05,NEFT CR UTR712236852906 RAZORPAY SETTLEMENT
TXN0046,UTR9281045,11025.01,2026-08-07,NEFT CR UTR9281045 PARTIAL REF
TXN0042,UTR738720907476,4838.14,2026-08-10,NEFT CR UTR738720907476 RAZORPAY SETTLEMENT
TXN0052,UTR985996207469,1133.69,2026-08-08,NEFT CR UTR985996207469 UNKNOWN SOURCE
TXN0016,UTR120703049505,17673.82,2026-08-06,NEFT CR UTR120703049505 RAZORPAY SETTLEMENT
TXN0023,UTR898807398882,18417.06,2026-08-09,NEFT CR UTR898807398882 RAZORPAY SETTLEMENT
TXN0015,UTR489103972677,4466.66,2026-08-17,NEFT CR UTR489103972677 RAZORPAY SETTLEMENT
TXN0010,UTR890407714528,6216.33,2026-08-09,NEFT CR UTR890407714528 RAZORPAY SETTLEMENT
TXN0005,UTR139656872032,4582.15,2026-08-09,NEFT CR UTR139656872032 RAZORPAY SETTLEMENT
TXN0018,UTR362370499022,8004.04,2026-08-10,NEFT CR UTR362370499022 RAZORPAY SETTLEMENT
TXN0009,UTR851319995413,21312.57,2026-08-11,NEFT CR UTR851319995413 RAZORPAY SETTLEMENT
TXN0007,UTR500167403959,9147.8,2026-08-06,NEFT CR UTR500167403959 RAZORPAY SETTLEMENT
TXN0038,UTR671671891036,23020.31,2026-08-16,NEFT CR UTR671671891036 RAZORPAY SETTLEMENT
TXN0029,UTR266092381096,4547.52,2026-08-04,NEFT CR UTR266092381096 RAZORPAY SETTLEMENT
TXN0032,UTR418478274247,20356.9,2026-08-19,NEFT CR UTR418478274247 RAZORPAY SETTLEMENT
TXN0024,UTR828437201389,3074.04,2026-08-03,NEFT CR UTR828437201389 RAZORPAY SETTLEMENT
TXN0034,UTR873037894756,22980.01,2026-08-02,NEFT CR UTR873037894756 RAZORPAY SETTLEMENT
