settlement_id,utr,amount,fee,tax,net_amount,settled_at,order_id
STL0001,UTR721175500265,16165.96,323.32,58.2,15784.44,2026-08-02,ORD0001
STL0002,UTR442871422713,16422.17,328.44,59.12,16034.61,2026-08-19,ORD0002
STL0003,UTR204190268310,21263.61,425.27,76.55,20761.79,2026-08-21,ORD0003
STL0004,UTR988348136760,6083.51,121.67,21.9,5939.94,2026-08-11,ORD0004
STL0005,UTR139656872032,4692.9,93.86,16.89,4582.15,2026-08-09,ORD0005
STL0006,UTR836394225258,22871.84,457.44,82.34,22332.06,2026-08-20,ORD0006
STL0007,UTR500167403959,9368.91,187.38,33.73,9147.8,2026-08-06,ORD0007
STL0008,UTR652614498251,17166.94,343.34,61.8,16761.8,2026-08-05,ORD0008
STL0009,UTR851319995413,21827.7,436.55,78.58,21312.57,2026-08-11,ORD0009
STL0010,UTR890407714528,6366.58,127.33,22.92,6216.33,2026-08-09,ORD0010
STL0011,UTR767363842005,24126.89,482.54,86.86,23557.49,2026-08-19,ORD0011
STL0012,UTR700035245785,5895.33,117.91,21.22,5756.2,2026-08-04,ORD0012
STL0013,UTR104447690438,19723.18,394.46,71.0,19257.72,2026-08-15,ORD0013
STL0014,UTR442294850989,5193.96,103.88,18.7,5071.38,2026-08-19,ORD0014
STL0015,UTR489103972677,4574.62,91.49,16.47,4466.66,2026-08-17,ORD0015
STL0016,UTR120703049505,18101.0,362.02,65.16,17673.82,2026-08-06,ORD0016
STL0017,UTR621825645592,2178.77,43.58,7.84,2127.35,2026-08-04,ORD0017
STL0018,UTR362370499022,8197.5,163.95,29.51,8004.04,2026-08-10,ORD0018
STL0019,UTR318769608269,22081.17,441.62,79.49,21560.06,2026-08-09,ORD0019
STL0020,UTR712236852906,6979.42,139.59,25.13,6814.7,2026-08-05,ORD0020
STL0021,UTR762754008958,1580.13,31.6,5.69,1542.84,2026-08-12,ORD0021
STL0022,UTR138788221784,14036.86,280.74,50.53,13705.59,2026-08-15,ORD0022
STL0023,UTR898807398882,18862.2,377.24,67.9,18417.06,2026-08-09,ORD0023
STL0024,UTR828437201389,3148.34,62.97,11.33,3074.04,2026-08-03,ORD0024
STL0025,UTR395919192147,9103.08,182.06,32.77,8888.25,2026-08-18,ORD0025
STL0026,UTR181045869714,11191.65,223.83,40.29,10927.53,2026-08-18,ORD0026
STL0027,UTR387334421496,23058.89,461.18,83.01,22514.7,2026-08-21,ORD0027
STL0028,UTR483276346579,15580.12,311.6,56.09,15212.43,2026-08-11,ORD0028
STL0029,UTR266092381096,4657.44,93.15,16.77,4547.52,2026-08-04,ORD0029
STL0030,UTR573316888728,11657.7,233.15,41.97,11382.58,2026-08-22,ORD0030
STL0031,UTR591145537488,13189.96,263.8,47.48,12878.68,2026-08-03,ORD0031
STL0032,UTR418478274247,20848.94,416.98,75.06,20356.9,2026-08-19,ORD0032
STL0033,UTR801312434083,7157.02,178.93,32.21,6945.88,2026-08-12,ORD0033
STL0034,UTR873037894756,23678.52,591.96,106.55,22980.01,2026-08-02,ORD0034
STL0035,UTR403641416035,12461.62,311.54,56.08,12094.0,2026-08-10,ORD0035
STL0036,UTR140323737820,2556.71,63.92,11.51,2481.28,2026-08-15,ORD0036
STL0037,UTR936767910116,18851.09,471.28,84.83,18294.98,2026-08-03,ORD0037
STL0038,UTR671671891036,23720.05,593.0,106.74,23020.31,2026-08-16,ORD0038
STL0039,UTR582636875056,10218.03,204.36,36.78,9976.89,2026-08-09,ORD0039
STL0040,UTR881968747928,12896.04,257.92,46.43,12591.69,2026-08-13,ORD0040
STL0041,UTR853292475634,19478.72,389.57,70.12,19019.03,2026-08-18,ORD0041
STL0042,UTR738720907476,4955.08,99.1,17.84,4838.14,2026-08-10,ORD0042
STL0043,UTR026354547372,17940.14,358.8,64.58,17516.76,2026-08-17,ORD0043
STL0044,UTR379617257598,6148.18,122.96,22.13,6003.09,2026-08-08,ORD0044
STL0045,UTR371002967102,6073.34,121.47,21.86,5930.01,2026-08-07,ORD0045
STL0046,UTR928104561890,11291.49,225.83,40.65,11025.01,2026-08-07,ORD0046
STL0047,UTR672544893667,3402.06,68.04,12.25,3321.77,2026-08-15,ORD0047
STL0048,UTR611004522774,15825.12,316.5,56.97,10704.11,2026-08-10,ORD0048
STL0049,UTR275811212107,6218.88,124.38,22.39,2428.84,2026-08-12,ORD0049
